plot.mpb,plot,date,plot.id,tree.id,species,live.dead,j.gal,exit.hole,dbh,scorch.height,bole.scorch,cl.deep.char,killed.by,mortality,canopy.str,cone.op.cl,cone.ct,snag.cwd,preb.ld,preb.sd,pref.ld,pref.sd,postf.ld,postf.sd
MM27,27,7/13/2016,EF0713M1,SW2,pico,D,N,N,14,3,25,1,FIRE,FIRE,partial,open,200,snag,live,stand,live,stand,dead,stand
ML28,28,7/13/2016,EF0713L1,,pigl,D,,,15.5,,,,FIRE,FIRE,,,,snag,live,stand,live,stand,dead,stand
ML28,28,7/13/2016,EF0713L1,,pigl,D,,,16.5,,,,FIRE,FIRE,,,,snag,live,stand,live,stand,dead,stand
LM29,29,7/19/2016,BA0719M1,NW3,pico,D,N,N,14.5,1.5,10,1,FIRE,FIRE,full,both,200,snag,live,stand,live,stand,dead,stand
LM29,29,7/19/2016,BA0719M1,NE7,pico,D,N,Y,13.5,3,10,1,FIRE,FIRE,full,closed,50,snag,live,stand,live,stand,dead,stand
LM29,29,7/19/2016,BA0719M1,SW4,pico,D,N,N,11.5,1,10,1,FIRE,FIRE,full,open,200,snag,live,stand,live,stand,dead,stand
LM29,29,7/19/2016,BA0719M1,NE3,pico,D,N,Y,11.5,4,35,1,FIRE,FIRE,full,open,240,snag,live,stand,live,stand,dead,stand
LM29,29,7/19/2016,BA0719M1,NW2,pico,D,N,N,10.5,1.5,12,1,FIRE,FIRE,full,open,200,snag,live,stand,live,stand,dead,stand
LM29,29,7/19/2016,BA0719M1,SE7,pico,D,O,N,10.5,2,15,1,FIRE,FIRE,full,both,,snag,live,stand,live,stand,dead,stand
LM29,29,7/19/2016,BA0719M1,SW2,pico,D,N,N,10.5,2,15,1,FIRE,FIRE,full,open,20,snag,live,stand,live,stand,dead,stand
LM29,29,7/19/2016,BA0719M1,SW3,pico,D,N,N,10,1.5,12,1,FIRE,FIRE,full,open,125,snag,live,stand,live,stand,dead,stand
LM29,29,7/19/2016,BA0719M1,SW1,pico,D,N,N,10,2,15,1,FIRE,FIRE,full,open,200,snag,live,stand,live,stand,dead,stand
LM29,29,7/19/2016,BA0719M1,SW5,pico,D,N,N,10,2,15,1,FIRE,FIRE,full,open,125,snag,live,stand,live,stand,dead,stand
LM29,29,7/19/2016,BA0719M1,NE1,pico,D,N,Y,10,4,60,1,FIRE,FIRE,full,closed,140,snag,live,stand,live,stand,dead,stand
LM29,29,7/19/2016,BA0719M1,SW6,pico,D,N,N,9,1.5,12,1,FIRE,FIRE,full,open,150,snag,live,stand,live,stand,dead,stand
LM29,29,7/19/2016,BA0719M1,SW7,pico,D,N,N,9,2,15,1,FIRE,FIRE,full,open,150,snag,live,stand,live,stand,dead,stand
LM29,29,7/19/2016,BA0719M1,NE4,pico,D,N,N,9,2.5,15,1,FIRE,FIRE,full,partial,10,snag,live,stand,live,stand,dead,stand
LM29,29,7/19/2016,BA0719M1,NW1,pico,D,N,N,8.5,0.5,5,1,FIRE,FIRE,full,open,10,snag,live,stand,live,stand,dead,stand
LM29,29,7/19/2016,BA0719M1,NE5,pico,D,N,N,8.5,3,30,1,FIRE,FIRE,full,closed,20,snag,live,stand,live,stand,dead,stand
LM29,29,7/19/2016,BA0719M1,SE1,pico,D,N,Y,8.5,3.5,30,1,FIRE,FIRE,partial,open,40,snag,live,stand,live,stand,dead,stand
LM29,29,7/19/2016,BA0719M1,SE5,pico,D,N,Y,8.5,4,35,1,FIRE,FIRE,full,closed,5,snag,live,stand,live,stand,dead,stand
LM29,29,7/19/2016,BA0719M1,SE4,pico,D,N,Y,8.5,5.5,65,1,FIRE,FIRE,partial,open,55,snag,live,stand,live,stand,dead,stand
LM29,29,7/19/2016,BA0719M1,NE6,pico,D,N,N,8,4,30,1,FIRE,FIRE,partial,both,75,snag,live,stand,live,stand,dead,stand
LM29,29,7/19/2016,BA0719M1,NE2,pico,D,N,N,7.5,3,40,1,FIRE,FIRE,full,partial,15,snag,live,stand,live,stand,dead,stand
MM30,30,7/19/2016,BA0719M1,SW3,pico,D,N,N,11,4,15,2,FIRE,FIRE,full,open,80,snag,live,stand,live,stand,dead,stand
MM30,30,7/19/2016,BA0719M1,SE1,pico,D,N,N,9.5,8,70,1,FIRE,FIRE,full,open,90,snag,live,stand,live,stand,dead,stand
LM31,31,7/19/2016,BA0719L1,SW1,pico,D,O,Y,19,0.5,3,1,FIRE,FIRE,full,open,200,snag,live,stand,live,stand,dead,stand
LM31,31,7/19/2016,BA0719L1,SE2,pico,D,N,N,12.5,2,5,1,FIRE,FIRE,full,both,130,snag,live,stand,live,stand,dead,stand
LM31,31,7/19/2016,BA0719L1,SW2,pico,D,N,N,11,1.5,5,1,FIRE,FIRE,full,open,300,snag,live,stand,live,stand,dead,stand
LL32,32,7/20/2016,BA0720L1,SW3,pico,D,O,Y,11,0.1,0.5,1,FIRE,FIRE,full,closed,150,snag,live,stand,live,stand,dead,stand
LL32,32,7/20/2016,BA0720L1,SW4,pico,D,O,Y,10.5,0.1,0.5,1,FIRE,FIRE,full,both,85,snag,live,stand,live,stand,dead,stand
LL32,32,7/20/2016,BA0720L1,NE1,pico,D,N,N,9.5,0.5,10,1,FIRE,FIRE,full,open,40,snag,live,stand,live,stand,dead,stand
LL32,32,7/20/2016,BA0720L1,NW1,pico,D,N,N,9,0.1,0.5,1,FIRE,FIRE,full,closed,40,snag,live,stand,live,stand,dead,stand
LL32,32,7/20/2016,BA0720L1,SW1,pico,D,N,N,8,0.1,0.5,1,FIRE,FIRE,full,open,6,snag,live,stand,live,stand,dead,stand
LL32,32,7/20/2016,BA0720L1,NW2,pico,D,N,N,8,0.5,1,1,FIRE,FIRE,full,closed,12,snag,live,stand,live,stand,dead,stand
LL32,32,7/20/2016,BA0720L1,SW5,pico,D,N,N,7.5,0.1,0.5,1,FIRE,FIRE,full,both,40,snag,live,stand,live,stand,dead,stand
LH33,33,7/20/2016,BA0720H1,SE4,pico,D,N,N,14,10,100,1,FIRE,FIRE,full,open,235,snag,live,stand,live,stand,dead,stand
LH33,33,7/20/2016,BA0720H1,SE1,pico,D,N,N,12,10,100,1,FIRE,FIRE,full,open,55,snag,live,stand,live,stand,dead,stand
